Title,Featured Artists,Album,Time,Year,Month,Day,Lyrics,Current Streams,Track Num,Music Video
High,none,"Don't You Worry, Honey",3:52,2017,6,30,"I've been smoking on the peace pipe. I've been wondering just what would peace be like. I've been staring into headlights. Swallow me whole, finding my peace of mind. I'm just trying to seize the moment. Trying to love the little things, even if they're hard to love. A monument to love unspoken. Carved into stone ""Unwilling to come undone"". It feels good to be running from the devil. Another breath and I'm up another level. It feels good to be up above the clouds. It feels good for the first time in a long time now. I remember back in Oakland. I was lying there in rapture on the bathroom floor. Moving hotel to hotel. Out on the road, no idea really what's in store. Light it up just like a flashlight. Let it shine, let it rise just like a foreign sun. Turn it over and it's capsized. It's finally done, the battle's lost yet I feel I've won. It feels good to be running from the devil. Another breath and I'm up another level. It feels good to be up above the clouds. It feels good for the first time in a long time now. It feels good for the first time in a long time now. It feels good to be me. I'm high, staring at the ceiling. Sending my love, what a wonderful feeling. What comes next, I see a light. I'm along for the ride as I'm taking flight. I'm high, staring at the ceiling. Sending my love, what a wonderful feeling. What comes next, I see a light. I'm along for the ride as I'm taking flight. It feels good to be running from the devil. Another breath and I'm up another level. It feels good to be up above the clouds. It feels good for the first time in a long time now. It feels good for the first time in a long time to be me. It feels good for the first time in a while I'm free. I'm high, staring at the ceiling. Sending my love, what a wonderful feeling. What comes next, I see a light. I'm along for the ride as I'm taking flight.",9667641,1,yes
Change,none,"Don't You Worry, Honey",3:40,2017,6,30,"Would you stay a little bit longer. If I told you I feel okay? I could be stronger. Yet I tell you, that I can change. I could change if I really tried to. I could change. I could change if I really want to. Because I'm lonely. Staring at a photograph of my one and only. Cause I was just a young, dumb kid with my thumbs up. Did I run, did I run to the wrong side? Did I run to the wrong side? Oh, yeah, I was dumbstruck. Looking at it now, I can tell that I fucked up. Did I run to the wrong side? I'm ashamed. I hang my head and I get on my knees and pray. Seems like I have not done this in a thousand days, a thousand years. Feeling with my thousand fears. I don't know where they all came from. Let them grow and I should've tamed 'em. I should've have tamed 'em. Cause I was just a young, dumb kid with my thumbs up. Did I run, did I run to the wrong side? Did I run to the wrong side? Oh, yeah, I was dumbstruck. Looking at it now, I can tell that I fucked up. Did I run to the wrong side? Everybody has bad days. I've had a fucking string of 'em. Never mind that I created 'em. Everybody has bad days. I've had about a million. Never mind that I created 'em. Cause I was just a young, dumb kid with my thumbs up. Did I run, did I run to the wrong side? Did I run to the wrong side? Oh, yeah, I was dumbstruck. Looking at it now, I can tell that I fucked up. Did I run to the wrong side?",291778,2,no
&Run,none,"Don't You Worry, Honey",3:47,2017,6,30,"You could be another face that I forget soon as I move along. Everybody makes mistakes; am I mistaken for the way I carry on? You could show a little grace, but maybe things just went a bit too far. We are just who we are; no time for ""what if""s and ""what if not""s. Heavy as the setting sun. Oh, I'm counting all the numbers between zero and one. Happy, but a little lost. Well, I don't know what I don't know. So I'll kick my shoes off and run (yeah). Kick my shoes off and run. Kick my shoes off and run (run, we'll be running barefoot). Kick my shoes off and run. Kick my shoes off and. You could be a happy bride and we could still be blissfully in love. Instead of being 25 and already feeling like you have had enough. You could be my one regret, infinitely spiraling me down. Sometimes the world feels loud. Heavy as the setting sun. Oh, I'm counting all the numbers between zero and one. Happy, but a little lost. Well, I don't know what I don't know. So I'll kick my shoes off and run (yeah). Kick my shoes off and run. Kick my shoes off and run (run, we'll be running barefoot). Kick my shoes off and run. Kick my shoes off and. Run. Run, run, run. Run. Run, run, run. Heavy as the setting sun. Oh, I'm counting all the numbers between zero and one (run, run, run). Happy, but a little lost. Well, I don't know what I don't know. So I'll kick my shoes off and. Run into the setting sun. Run, run, run. Run into the setting sun. Run, run, run. I'll run into the setting sun. Run, run, run. I'll run into the setting sun.",409360,3,no
Altar,none,"Don't You Worry, Honey",3:42,2017,6,30,"Stars are just wishes come true. Yeah. I used to worship at your altar. Underneath the covers. I used to worship at your altar. I used to think I was your lover. So what did I do? Was it my fault? Could I have changed it? And why did you go? It's not like you're blameless. You should be ashamed of how you behaved. Making that thing some kind of game. Holding my hand, telling me meet me in five years. (I use to worship, at your altar). Five years. But you're a different kind of person. Not the person that I once knew. Not the girl I fell in love with. Not the god I made you into. You do what you want. Sleep with who you want. I can't stop you. Even if I try, the whole time, you will lie. Then you give me one more line about doing lines. You say that you're just living your life. That I should do my time, but I already did my time. I used to worship at your altar. I thought you'd wash away my pain. Thought your name made you a river. After all it's just a name. So what did I do? Was it my fault? Could I have changed it? And why did you go? It's not like you're blameless. Was it my fault? Could I have changed it? You do what you want. Sleep with who you want. I can't stop you. Even if I try, the whole time, you will lie. Then you give me one more line about doing lines. You're on my mind. Oh, yeah, that's right, but I am fine. Yeah, I'm alive, I'm alive. I won't worship at your shrine again. And no I do not want to be your friend. I feel relieved to know that one day all of this will end. Such a weight off of my shoulders. Momma told us, ""Remember, you're not infinite. It's better not to speak and maybe you should get to listening. Don't you worry about the money, honey, or the internet. Cause you're alive, cause you're alive. Baby, you're alive.” No need to worship at an altar. No need to worship at an altar.",428765,4,yes
Fun,none,"Don't You Worry, Honey",3:53,2017,6,30,"I'm a dreamer stuck in the real world. It's not an ideal world. Ashamed I flew out of bed from the things I've done. I'm a bleeding heart stuck in a cold world. A harsh and unknown world. Afraid of who I am and what I might become. I don't wanna wake up, I just wanna fall in love. So let me dream if I want; it's not gonna hurt no one. I don't wanna grow up, I just wanna stay this young. See the world if I want; it's not gonna hurt no one. So let me have my fun. I'm a lover having a hard time. Walking a thin line. Between the life I want and the one I live. I'm a dreamer stuck in a nightmare. I know that it's not fair. That I dragged you into this mess that I made again. I don't wanna wake up, I just wanna fall in love. So let me dream if I want; it's not gonna hurt no one. I don't wanna grow up, I just wanna stay this young. See the world if I want; it's not gonna hurt no one. So let me have my fun. I don't wanna wake up, I just wanna fall in love. So let me dream if I want; it's not gonna hurt no one. I don't wanna grow up, I just wanna stay this young. See the world if I want; it's not gonna hurt no one. So let me have my fun. Let me have my fun. God knows I need it. The past six months, when I fall asleep. Every night, you're in my dreams. You're waving goodbye, too far away to touch. I'm a lover fresh out of luck.",257826,5,no
Astronaut,none,"Don't You Worry, Honey",3:44,2017,6,30,"I know I'm tripping. Baby I'm barely alive. (Are my feet on the ground because my head's in the sky). A little paper. A little love on the tongue. (All my memories are rushing back from when I was young). A world of color. I'm in the future and scared. (I thought I knew what to expect but I just wasn't prepared). And now my brain. A private theater. (Is it a 35 or 40 millimeter?). (Is it a camera? Or is it a gun?). Live a little, dropping acid, and I'm flying away. I'm feeling like an astronaut in space. I don't think that it'll ever do the damage they say. Feeling like an astronaut in space. Lysergic feelings. I'm breathing barium vibes. (I'm looking down from the ceiling, I've got a bird's eye). I'm in the bathtub. Swimming in lavender hymns. (I'm discovering God and she is paper-thin). The question's loaded. Am I naive? (I had a vision of you watching me as I was fading in and out. In a department store. I don't want to be alone anymore). Live a little, dropping acid, and I'm flying away. I'm feeling like an astronaut in space. I don't think that it'll ever do the damage they say. Feeling like an astronaut in space. Live a little, dropping acid, and I'm flying away. I'm feeling like an astronaut in space. I don't think that it'll ever do the damage they say. Feeling like an astronaut in space. Is this the comedown? I'm stretching back into time. A little love on the tongue. A little more piece of mind. Live a little, dropping acid, and I'm flying away. I'm feeling like an astronaut in space. I don't think that it'll ever do the damage they say. Feeling like an astronaut in space. Live a little, dropping acid, and I'm flying away. I'm feeling like an astronaut in space. I don't think that it'll ever do the damage they say. Feeling like an astronaut in space.",408851,6,yes
2:00 AM,none,"Don't You Worry, Honey",3:33,2017,6,30,"Hold on, calm down. This will all be over any minute now. You're fine, you're good. I'd shrug you off, but I'd believe you if I could. I'm just panicking; I feel it in my heart now. I'm freaking myself out; I'm keeping my head down. I'm just panicking; I'm losing my own sight now. I'm freaking myself out; I'm keeping my head down. (Down, down, down, down-down). (Down, down, down-down-down-down-down-down). It's 2 AM and I'm surrounded, but I feel alone. It's 2 AM; I need to go outside, have a smoke. It's 2 AM and I'm surrounded, but I feel alone. It's 2 AM; I need to go outside, have a smoke. Breathe in, breathe out. I'm fine now. Pass out, wake up. Your words are kind, but they're just not enough. I'm just panicking; I feel it in my heart now. I'm freaking myself out; I'm keeping my head down. I'm just panicking; I'm losing my own sight now. I'm freaking the fuck out; I'm keeping my head down. I'm just panicking; I feel it in my heart now. I'm freaking the fuck out; I'm keeping my head down. I'm panicking; I feel it in my heart now. I feel it in my heart now, I feel it in my heart now. (Down, down, down, down-down). (Down, down, down-down-down-down-down-down). It's 2 AM and I'm surrounded, but I feel alone. It's 2 AM; I need to go outside, have a smoke.",137916,7,no
Trippin' ,none,"Don't You Worry, Honey",3:44,2017,6,30,"Whose house is this? What party did I end up inside? Across the room, you're standing like a vision of life. I really wanna taste you (so what's your name?), baby, I should get your name. I really wanna know you, like now, I really wanna know you. I'm hooked. (If I, if I, if I were you, I would say yes). You've got me hooked. (If I, if I, if I were you, I would say yes). You, you've got me trippin'. All over you, you've got me trippin'. What should I do? A little more waiting and then that's enough. I'm way too faded for falling in love. You've got me trippin' all over you. (If I, if I, if I were you, I would say). What song is this? I'm grooving on the floor to catch your eye. We're talking now, 'bout God and politics and computer sites. You say you got a boyfriend, he's probably more stable than me, but let's play pretend. I really wanna know you, like now, I really wanna know you. I'm hooked. (If I, if I, if I were you, I would say yes). You've got me hooked. (If I, if I, if I were you, I would say yes). (Ahh, you've got me hooked). You, you've got me trippin'. All over you, you've got me trippin'. What should I do? A little more waiting and then that's enough. I'm way too faded for falling in love. You've got me trippin' all over you. It's 5 AM, still talking by the pool. Totally smitten and I can't play it cool. You've got me hooked, got me trippin' on you. You've got me hooked. (If I, if I, if I were you, I would say yes). You've got me hooked. (If I, if I, if I were you, I would say yes). You, oh. You've got me trippin'. All over you, you've got me trippin'. What should I do? A little more waiting and then that's enough. I'm way too faded for falling in love. You've got me trippin' all over you.",147418,8,no
Headfirst,none,"Don't You Worry, Honey",3:33,2017,6,30,"Maybe I'm not, maybe I am ready to love again. There's one way to find, that is to dive in headfirst. I think that I could try. Start on you and I. Maybe I could dive in headfirst. I could dive in like open water. Tell you 'bout my mom and all about my father. And how I once was married to a pastor's daughter. I guess I could. I'm not accustomed to opening up. I've fallen in love before, but it wasn't enough. And now I'm ashamed like it's sin. 6'3"", curly blonde hair and a lot of love to give. And now I'm wondering. If being alone to being afraid to being alone. Makes it worth it to jump again. Will I just go numb again? And do something dumb again? Like cheat on my best friend? A familiar, anxious spiral. I could write these words a thousand times and recite them like my Holy Bible. Maybe falling in love is vital. And if I don't try now, I won't be able to when I'd like to. Maybe I'm not, maybe I am ready to love again. There's one way to find, that is to dive in headfirst. I think that I could dive in headfirst. After all the things I've done. The last time, how I fucked it up. Do I really want new love? Do I even want new love? Cause I'm tired of being alone to being afraid of being alone forever. I wanna find love, but lately I'm thinking that I'm not enough. And whether I could dive in headfirst. Could call you up and talk on the phone. Hold your hand and travel the world. Read new books and write our own. We'd make love, create new blood, become old folks together. Dive in headfirst.",153488,9,no
Oh Mama,none,"Don't You Worry, Honey",5:33,2017,6,30,"One day, one day, one day. One day. In San Francisco and the world is ending. Out the car, I see a load of family. Don't have a clue what I'm allowed to say. But you're not saying anything. Cause the dead don't speak in dreams. But you don't seem dead to me. Here the chopper gang is passing. Holy rollers with their judgment casting. Will you still visit me in dreams? Cause I miss you more than it seems. Could you stay a moment? Cause I can't reach you any other way and I've been lonely. One day (yeah), one day. One day I'm gonna sing with you again. Oh, mama. You showed your face again last night. It was healthy and I wasn't surprised. Sat and listened and you let me tell you. Everything in life is like a living hell, yeah. But the dead don't speak in dreams. All a suddenly, you don't know me. I tell you you can stay awhile. You forget your brain is not the same. And then I force a smile. One day, I'm gonna sing with you again. Oh, mama, that's right. One day (yeah), one day. One day I'm gonna sing with you again. Oh, mama. One day (yeah), oh, mama. One day, I'm gonna sing with you again. Sing with you again. Yeah. Still going on, this whole...dream. Oh, dream. Hey, love-dove, it's Mom. And I saw I missed a call from you, which broke my heart. [over-exaggerates a fake sob]. But, um, anyway, I miss you terribly. And hopefully you can call back. And, maybe, I don't know if you needed something or you were just calling to say hi. But... I don't need anything; I just wanted to say hi. I love you! Bye. One day, I'm gonna sing with you again. Oh, mama. One day, I'm gonna sing with you again. Oh, mama. Know it's true. One day, I'm gonna sing with you again. Oh, mama, oh, mama. One day, I'm gonna sing with you again. Oh, mama (yeah). (One day, one day, one day). I'm gonna sing with you again (One day, I'll sing with you). Oh, mama. (One day, one day, one day) (One day, I'll sing). I'm gonna sing with you again. (One day, one day, one day). Oh, mama (Oh, I'm gonna sing with you again). I'll sing with you again. (One day, one day, one day) (One day, one day, oh). Oh, mama. The last three years, I lost my holy trinity. I lost you, lost my river, and my old belief. I spent so much time being worried and afraid of how things might end. But oh, mama, one day I'm gonna sing. I'm gonna sing with you again.",111863,10,no
Easy Now,none,Single,3:12,2013,2,15,"Made a life in half a year. Everything else disappeared. How the hell are you here? Since all these years passed. Watched you drown from far away. Wished that I could take your place. I know a lot has changed. But the living's easy now. Now, easy now. Now, easy now. All my troubles, all my pain. All my pride and all my mistakes. Been washed away in years passed. Watch me fall from far away. Through the glass of an old window pane. We both got a bitter taste. But the living's easy now. Now, easy now. Now, easy now. Now. I know something that you don't know. I've been searching out all alone. I know something that you don't know. I've been searching out in the cold, out in the cold. What if I could clean your slate. Play the savior, take the blame? We both got a lot of pain. But the living's easy now. Now, easy now. Now, now, now.",none,1,yes
Expectation ,none,Single,7:17,2016,3,11,"Pressure's on, pressure's high. Pressure's heavy on my mind. Weight is here, weight is right. Weight is heavy on my spine. Truth has holes; truth, it swells. Sometimes truth can feel like hell. And it's full, and it swells. In the end, we'll all be well. How did expectations get so high? Got a wicked thirst to feel alive. How did expectations get so high? Now I have nowhere to run and hide. Run and hide. Ideas move, ideas pull. Can ideas be controlled? Fear has grown, fear so old. Fear is pulsing in my skull. Hope below, hope on high. Hope in ocean, hope in sky. People come, people try. People gone in the blink of an eye. How did expectations get so high? Got a wicked thirst to feel alive. How did expectations get so high? Now I have nowhere to run and hide. Run and hide. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. Losing control, losing control. How did expectations get so high? Got a wicked thirst to feel alive. How did expectations get so high? How did expectations get so high?",386770,1,yes
Miracle ,none,SIngle,3:09,2013,8,23,"Go home and wash your feet. And say that you want more of me. The blood stains are on your teeth. And this is more than I can speak on. Speakin’ slowly. Know that I won’t touch you. Breathe in slowly. Know that I can’t love you. I just want what I can’t have. And I can’t have a miracle. I just want what I can’t have. And I can’t have a miracle at all, at all, at all. Piss off and let me be. Diggin’ down and underneath. The water’s under the bridge. The times from when I was a kid. Speakin’ slowly. Know that I won’t touch you. Breathe in slowly. Know that I can’t love you. And I just want what I can’t have. And I can’t have a miracle. I just want what I can’t have. And I can’t have a miracle at all, at all, at all. Can’t have a miracle at all, at all, at all. Speakin’ slowly. Know that I won’t love you. I breathe in slowly. And know that I won’t love you. I just want what I can’t have. And I can’t have a miracle. I just want what I can’t have. And I can’t have a miracle at all, at all, at all. Can’t have a miracle at all, at all, at all, at all, at all, at all, at all, at all, at all, at all.",,1,yes